Town,County,Pop,Land,Water,Latitude,Longitude,GEO ID,ANSI code
Adams,Jefferson,5143,42.27,0.153,43.844658,-76.054289,3604500210,978655
Addison,Steuben,2595,25.545,0.142,42.132164,-77.234422,3610100287,978656
Afton,Chenango,2851,45.836,0.679,42.226305,-75.526838,3601700353,978657
Alabama,Genesee,1869,42.37,0.406,43.090053,-78.366480,3603700474,978658
Albion,Orleans,8468,25.257,0.093,43.226343,-78.209387,3607301044,978660
Albion,Oswego,2073,47.286,0.532,43.489292,-76.030916,3607501055,978661
Alden,Erie,10865,34.308,0.201,42.907256,-78.520613,3602901099,978662
Alexander,Genesee,2534,35.467,0.096,42.920586,-78.250065,3603701165,978663
Alexandria,Jefferson,4061,72.657,11.9,44.319903,-75.878414,3604501176,978664
Alfred,Allegany,5237,31.476,0.149,42.233273,-77.795084,3600301209,978665
Allegany,Cattaraugus,8004,70.923,0.658,42.091286,-78.531856,3600901297,978666
Allen,Allegany,448,36.377,0.203,42.397400,-78.004345,3600301319,978668
Alma,Allegany,842,36.215,0.301,42.047668,-78.016224,3600301429,978669
Almond,Allegany,1633,45.717,0.067,42.340932,-77.781630,3600301451,978670
Altona,Clinton,2887,100.983,0.357,44.841730,-73.670487,3601901583,978672
Amboy,Oswego,1263,37.049,0.692,43.377133,-75.918438,3607501649,978673
Amenia,Dutchess,4436,43.22,0.396,41.829938,-73.534020,3602701693,978674
Amherst,Erie,122366,53.203,0.391,43.011639,-78.757148,3602902000,978675
Amity,Allegany,2308,34.442,0.123,42.226466,-78.003401,3600302011,978676
Amsterdam,Montgomery,5566,29.701,0.733,42.955568,-74.166076,3605702077,978678
Ancram,Columbia,1573,42.478,0.259,42.035959,-73.580146,3602102099,978679
Andes,Delaware,1301,108.592,3.694,42.128419,-74.787370,3602502132,978680
Andover,Allegany,1830,39.43,0.066,42.150717,-77.811105,3600302154,978681
Angelica,Allegany,1403,36.394,0.038,42.304028,-78.015503,3600302187,978682
Annsville,Oneida,3012,60.167,0.308,43.345241,-75.614699,3606502253,978683
Antwerp,Jefferson,1846,106.042,2.378,44.221394,-75.601758,3604502297,978684
Arcade,Wyoming,4205,47.004,0.106,42.571352,-78.369984,3612102418,978685
Arcadia,Wayne,14244,52.033,0.111,43.098080,-77.082687,3611702440,978686
Argyle,Washington,3782,56.536,1.26,43.232135,-73.478888,3611502561,978687
Arietta,Hamilton,304,317.178,12.229,43.500184,-74.579588,3604102572,978688
Arkwright,Chautauqua,1061,35.67,0.06,42.386656,-79.242479,3601302605,978689
Ashford,Cattaraugus,2132,51.737,0.164,42.440413,-78.646301,3600902759,978690
Ashland,Chemung,1695,14.182,0.355,42.019488,-76.750371,3601502781,978691
Ashland,Greene,784,25.958,0,42.321255,-74.336110,3603902803,978692
Athens,Greene,4089,26.246,2.622,42.276513,-73.859238,3603902913,978693
Attica,Wyoming,7702,35.712,0.315,42.820640,-78.245571,3612103012,978694
Au Sable,Clinton,3146,39.109,4.74,44.503615,-73.533466,3601903221,978699
Augusta,Oneida,2020,27.728,0,42.977116,-75.502294,3606503155,978696
Aurelius,Cayuga,2792,30.245,1.749,42.929159,-76.668447,3601103166,978697
Aurora,Erie,13782,36.393,0.046,42.738748,-78.638578,3602903199,978698
Austerlitz,Columbia,1654,48.722,0.092,42.315112,-73.518416,3602103287,978700
Ava,Oneida,676,37.667,0.038,43.414296,-75.441248,3606503309,978701
Avoca,Steuben,2264,36.249,0.041,42.424318,-77.448755,3610103342,978702
Avon,Livingston,7164,41.203,0.055,42.897400,-77.727378,3605103364,978703
Babylon,Suffolk,213603,52.319,61.861,40.680656,-73.316175,3610304000,978704
Bainbridge,Chenango,3308,34.323,0.433,42.296565,-75.476683,3601704044,978705
Baldwin,Chemung,832,25.716,0.02,42.101825,-76.657096,3601504132,978706
Ballston,Saratoga,9776,29.576,0.462,42.951295,-73.887168,3609104220,978707
Bangor,Franklin,2224,43.118,0,44.837505,-74.430139,3603304319,978708
Barker,Broome,2732,41.403,0.376,42.265005,-75.911308,3600704429,978709
